bins time_per_bin
1 7.2984e-08
2 4.627e-08
3 4.0345e-08
4 3.6073e-08
5 3.44038e-08
6 3.37567e-08
7 3.18676e-08
8 3.07651e-08
9 3.04508e-08
10 2.99549e-08
20 2.77271e-08
30 2.69844e-08
40 2.77025e-08
50 2.65327e-08
60 2.66374e-08
70 2.66075e-08
80 2.65283e-08
90 2.6587e-08
100 2.6254e-08
110 2.50489e-08
120 2.53279e-08
130 2.55855e-08
140 2.60553e-08
150 2.60285e-08
160 2.6108e-08
170 2.59781e-08
180 2.52057e-08
190 2.49668e-08
200 2.51928e-08
210 2.49503e-08
220 2.48797e-08
230 2.49534e-08
240 2.47826e-08
250 2.49833e-08
260 2.49363e-08
270 2.47776e-08
280 2.47535e-08
290 2.47048e-08
300 2.47664e-08
310 2.48205e-08
320 2.48604e-08
330 2.46758e-08
340 2.47068e-08
350 2.49948e-08
360 2.4893e-08
370 2.46864e-08
380 2.47481e-08
390 2.50356e-08
400 2.47233e-08
410 2.51388e-08
420 2.46488e-08
430 2.46387e-08
440 2.47076e-08
450 2.49231e-08
460 2.50727e-08
470 2.46575e-08
480 2.47641e-08
490 2.46189e-08
500 2.46827e-08
510 2.46277e-08
520 2.47507e-08
530 2.46835e-08
540 2.47982e-08
550 2.46759e-08
560 2.46514e-08
570 2.4677e-08
580 2.46888e-08
590 2.46312e-08
600 2.47057e-08
610 2.49235e-08
620 2.46332e-08
630 2.46188e-08
640 2.46989e-08
650 2.45954e-08
660 2.46979e-08
670 2.47942e-08
680 2.47246e-08
690 2.47845e-08
700 2.46632e-08
710 2.46759e-08
720 2.46261e-08
730 2.47545e-08
740 2.56351e-08
750 2.48088e-08
760 2.47043e-08
770 2.45922e-08
780 2.47085e-08
790 2.47338e-08
800 2.48951e-08
810 2.53521e-08
820 2.53428e-08
830 2.46594e-08
840 2.48434e-08
850 2.4605e-08
860 2.4672e-08
870 2.45732e-08
880 2.47203e-08
890 2.53352e-08
900 2.46164e-08
910 2.45672e-08
920 2.47193e-08
930 2.49856e-08
940 2.48474e-08
950 2.45834e-08
960 2.46725e-08
970 2.47075e-08
980 2.46268e-08
990 2.46465e-08
1000 2.45651e-08
1000 2.4692e-08
2000 2.46075e-08
3000 2.47846e-08
4000 2.46221e-08
5000 2.45826e-08
6000 2.45963e-08
7000 2.46191e-08
8000 2.46516e-08
9000 2.46318e-08
10000 2.47651e-08
11000 2.47276e-08
12000 2.47247e-08
13000 2.47473e-08
14000 2.47579e-08
15000 2.49845e-08
16000 2.49269e-08
17000 2.48412e-08
18000 2.47986e-08
19000 2.48899e-08
20000 2.49026e-08
21000 2.50172e-08
22000 2.59441e-08
23000 2.63703e-08
24000 2.4913e-08
25000 2.49523e-08
26000 2.4751e-08
27000 2.47791e-08
28000 2.5036e-08
29000 2.47618e-08
30000 2.49924e-08
